Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
лажлодорП, юуртсо ,Продолжал, острую , ," борьбу против православной церкви и,",З. Н. Гиппиус. Задумчивый странник (о Розанове) (1923),З. Н. Гиппиус,1869,Задумчивый странник (о Розанове),1923,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия снята,"Продолжалострую борьбу против православной церкви и, под угрозой снятия сана, перешёл в старообрядчество, где был епископом. [З. Н. Гиппиус. Задумчивый странник (о Розанове) (1923)] [омонимия снята]"
огокакин йителитясед окьлоксен еишйажилб в, огортсо ,в ближайшие несколько десятилетий никакого, острого , , конфликта не будет и быть,коллективный. «Китай грозит Америке войной». Комментарии к статье (2015),коллективный,,«Китай грозит Америке войной». Комментарии к статье,2015,"нехудожественная, электронная коммуникация",комментарии читателей,_,,,электронный текст,омонимия не снята,Так что никогда в ближайшие несколько десятилетий никакогоострого конфликта не будет и быть не может. [коллективный. «Китай грозит Америке войной». Комментарии к статье (2015)] [омонимия не снята]
теаджороп и атнетнокоедив яинелбертоп реткарах, еыртсо ,характер потребления видеоконтента и порождает, острые , , споры об авторских правах и,"Андрей Быстрицкий. Сериальная истерия // «Эксперт», 2014",Андрей Быстрицкий,,Сериальная истерия,2014,"нехудожественная, публицистика",статья,"досуг, зрелища и развлечения, искусство и культура",«Эксперт»,2014,журнал,омонимия не снята,"Именно новый характер потребления видеоконтента и порождаетострые споры об авторских правах и видеопиратстве. [Андрей Быстрицкий. Сериальная истерия // «Эксперт», 2014] [омонимия не снята]"
к олевирп йинелватсдерп ыметсис йоксечиссалк, йортсо ,классической системы представлений привело к, острой , , борьбе между различными подходами к,"Георгий Любарский. Мракобесие, или Наших бьют // «Эксперт», 2013",Георгий Любарский,,"Мракобесие, или Наших бьют",2013,"нехудожественная, публицистика",статья,"религия, социология",«Эксперт»,2013,журнал,омонимия не снята,"Разрушение классической системы представлений привело кострой борьбе между различными подходами к изучению мира. [Георгий Любарский. Мракобесие, или Наших бьют // «Эксперт», 2013] [омонимия не снята]"
.оговиж мамроф и мадив едерс, еортсО ,среде видам и формам живого., Острое , , противоречие между двумя основополагающими теориями,"Георгий Малинецкий. От прошлого к будущему. Российский контекст междисциплинарности // «Знание-сила», 2013",Георгий Малинецкий,1956,От прошлого к будущему. Российский контекст междисциплинарности,2013,"нехудожественная, публицистика",статья,"биология, математика, наука и технологии",«Знание-сила»,2013,журнал,омонимия не снята,"среде видам и формам живого. Острое противоречие между двумя основополагающими теориями налицо. [Георгий Малинецкий. От прошлого к будущему. Российский контекст междисциплинарности // «Знание-сила», 2013] [омонимия не снята]"
"ястюащевсо едг ,йетсовон хакдовс хынвендеже", еыртсо ,"ежедневных сводках новостей, где освещаются", острые , ," конфликты современного мира, так и","Станислав Кувалдин. В окрестностях секулярного // «Эксперт», 2013",Станислав Кувалдин,,В окрестностях секулярного,2013,"нехудожественная, публицистика",статья,"политика и общественная жизнь, религия",«Эксперт»,2013,журнал,омонимия не снята,"Кроме того, гражданам неминуемо приходится сталкиваться с « религиозным фактором» как в ежедневных сводках новостей, где освещаютсяострые конфликты современного мира, так и в повседневной жизни стран с большим притоком мигрантов. [Станислав Кувалдин. В окрестностях секулярного // «Эксперт», 2013] [омонимия не снята]"
йодереч яслинмопаз дог йынбечу йылшорП, хыртсо ,Прошлый учебный год запомнился чередой, острых , ," споров: проект стандартов, мошенничество с","Евгений Ямбург. «Корабль тонет, а мы обсуждаем обшивку» // «Русский репортер», № 34 (212), 1 сентября 2011, 2011",Евгений Ямбург,,"«Корабль тонет, а мы обсуждаем обшивку»",2011,"нехудожественная, публицистика",заметка,образование,"«Русский репортер», № 34 (212), 1 сентября 2011",2011,журнал,омонимия не снята,"Прошлый учебный год запомнился чередойострых споров: проект стандартов, мошенничество с ЕГЭ, положение элитных гимназий… [Евгений Ямбург. «Корабль тонет, а мы обсуждаем обшивку» // «Русский репортер», № 34 (212), 1 сентября 2011, 2011] [омонимия не снята]"
еещюаджороп и яинаворимрофер реткарах йынчарзорпен, еыртсо ,непрозрачный характер реформирования и порождающее, острые , , конфликты тесное переплетение городских и,"Надежда Борисова. Пермь: локальный режим в крупном российском городе // «Неприкосновенный запас», 2010",Надежда Борисова,,Пермь: локальный режим в крупном российском городе,2010,"нехудожественная, публицистика",статья,политика и общественная жизнь,«Неприкосновенный запас»,2010,журнал,омонимия не снята,"Но непрозрачный характер реформирования и порождающееострые конфликты тесное переплетение городских и региональных властей с группами экономических интересов заставляет скептически относиться к перспективам подобных преобразований в Перми. [Надежда Борисова. Пермь: локальный режим в крупном российском городе // «Неприкосновенный запас», 2010] [омонимия не снята]"
"умомас ,итсомеаджор усизирк умоннемервос к", умортсо ,"к современному кризису рождаемости, самому", острому , ," противоречию « развитого» мира, когда",С. П. Капица. Парадоксы роста. Законы развития человечества (2010),С. П. Капица,1928,Парадоксы роста. Законы развития человечества,2010,"нехудожественная, учебно-научная",монография,социология,,,книга,омонимия не снята,"А с наступлением демографического перехода общее число детей падает настолько, что при резком изменении роста и развития это привело к современному кризису рождаемости, самомуострому противоречию « развитого» мира, когда « порвалась связь времен». [С. П. Капица. Парадоксы роста. Законы развития человечества (2010)] [омонимия не снята]"
.увтсещбо умоксйиссор яокоп теад ен, еыртсО ,не дает покоя российскому обществу., Острые , , споры вспыхивают вокруг многих памятных,"коллективный. XX век в истории России. Круглый стол «Журнала Московской Патриархии» // Журнал Московской Патриархии № 2, 2010, 2010",коллективный,,XX век в истории России. Круглый стол «Журнала Московской Патриархии»,2010,"нехудожественная, публицистика",репортаж,"администрация и управление, история, политика и общественная жизнь","Журнал Московской Патриархии № 2, 2010",2010,журнал,омонимия не снята,"не дает покоя российскому обществу. Острые споры вспыхивают вокруг многих памятных дат, общественных инициатив и даже решений государственной власти. [коллективный. XX век в истории России. Круглый стол «Журнала Московской Патриархии» // Журнал Московской Патриархии № 2, 2010, 2010] [омонимия не снята]"
