Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
 то ясьтажредзов ешчул гревтеч В, йортсо ,В четверг лучше воздержаться от , острой , , пищи.,"Твой гороскоп // «Даша», 2004",,,Твой гороскоп,2004,"нехудожественная, публицистика",гороскоп,"астрология, парапсихология, эзотерика",«Даша»,2004,журнал,омонимия снята,"В четверг лучше воздержаться от острой пищи. [Твой гороскоп // «Даша», 2004] [омонимия снята]"
 ястюачертсв огесв ещач ( аквабод, еыртсо ,добавка ( чаще всего встречаются , острые , , колбаски и свиные ребрышки).,"Григорий Тарасевич. Фейжоада: кастрюля бразильской истории // «Русский репортер», 2014",Григорий Тарасевич,,Фейжоада: кастрюля бразильской истории,2014,"нехудожественная, публицистика",статья,дом и домашнее хозяйство,«Русский репортер»,2014,журнал,омонимия не снята,"Конечно, есть строгие рецепты, предписывающие, какой именно должна быть мясная добавка ( чаще всего встречаются острые колбаски и свиные ребрышки). [Григорий Тарасевич. Фейжоада: кастрюля бразильской истории // «Русский репортер», 2014] [омонимия не снята]"
" ,ещбоов И", еортсо ,"И вообще, ", острое , ― ," пища бедных, ― добавил он.",Алексей Иванов (Алексей Маврин). Псоглавцы. Гл. 1-20 (2011),Алексей Иванов (Алексей Маврин),1969,Псоглавцы. Гл. 1-20,2011,художественная,роман,_,,,книга,омонимия не снята,"И вообще, острое ― пища бедных, ― добавил он. [Алексей Иванов (Алексей Маврин). Псоглавцы. Гл. 1-20 (2011)] [омонимия не снята]"
 умечоП, еортсо ,Почему , острое , ― , пища бедных? ,Алексей Иванов (Алексей Маврин). Псоглавцы. Гл. 1-20 (2011),Алексей Иванов (Алексей Маврин),1969,Псоглавцы. Гл. 1-20,2011,художественная,роман,_,,,книга,омонимия не снята,Почему острое ― пища бедных?  [Алексей Иванов (Алексей Маврин). Псоглавцы. Гл. 1-20 (2011)] [омонимия не снята]
" ее оп и ,угинк юущятселб", мыртсо ,"блестящую книгу, и по ее ", острым , , ребрышкам забегали искры.,Юлия Лавряшина. Улитка в тарелке (2011),Юлия Лавряшина,1965,Улитка в тарелке,2011,художественная,повесть,_,,,книга,омонимия не снята,"Дрим уже раскрыл большую блестящую книгу, и по ее острым ребрышкам забегали искры. [Юлия Лавряшина. Улитка в тарелке (2011)] [омонимия не снята]"
 ьтялбертопу онаводнемокер ен еничирп йони, юуртсо ,иной причине не рекомендовано употреблять , острую , , пищу и пряности.,"И. Сокольский. Родственники горчицы // «Наука и жизнь», 2007",И. Сокольский,,Родственники горчицы,2007,"нехудожественная, публицистика",статья,"здоровье и медицина, природа",«Наука и жизнь»,2007,журнал,омонимия не снята,"Руколу не стоит есть только людям, которым по той или иной причине не рекомендовано употреблять острую пищу и пряности. [И. Сокольский. Родственники горчицы // «Наука и жизнь», 2007] [омонимия не снята]"
" ,еинечпок и еинелос илыб анемерв", яартсо ,"времена были соление и копчение, ", острая , , пища вызывала сильную жажду.,"С. Матссон-Попова. Корабль «Васа» // «Наука и жизнь», 2007",С. Матссон-Попова,,Корабль «Васа»,2007,"нехудожественная, публицистика",статья,"история, техника",«Наука и жизнь»,2007,журнал,омонимия не снята,"Поскольку основными методами консервирования в те времена были соление и копчение, острая пища вызывала сильную жажду. [С. Матссон-Попова. Корабль «Васа» // «Наука и жизнь», 2007] [омонимия не снята]"
 к юьвобюл йеовс ынтсевзи ыцнакискеМ, йортсо ,Мексиканцы известны своей любовью к , острой , ," пище, но недавно удивили мир,","обобщенный. Кунсткамера // «Наука и жизнь», 2007",обобщенный,,Кунсткамера,2007,"нехудожественная, публицистика",заметка,наука и технологии,«Наука и жизнь»,2007,журнал,омонимия не снята,"Мексиканцы известны своей любовью к острой пище, но недавно удивили мир, начав выпускать леденцы с начинкой из перца. [обобщенный. Кунсткамера // «Наука и жизнь», 2007] [омонимия не снята]"
" тядялгыв ,оревтечв или еортв еыннежолс", еертсо ,"сложенные втрое или вчетверо, выглядят ", острее , (, рис.,"Лариса Банакина. Лоскутки жизни // «Народное творчество», 2004.04.19",Лариса Банакина,,Лоскутки жизни,2004,"нехудожественная, учебно-научная",статья,искусство и культура,«Народное творчество»,2004.04.19,журнал,омонимия не снята,"Зубчики, сложенные втрое или вчетверо, выглядят острее (рис. [Лариса Банакина. Лоскутки жизни // «Народное творчество», 2004.04.19] [омонимия не снята]"
" ,уксисос юунёрав ,нелч йишватсв ьртунв", юуртсо ,"внутрь вставший член, варёную сосиску, ", острую , ," морковку, всего, что там полагается,",Женщина + мужчина: Секс (форум) (2004),,,Женщина + мужчина: Секс (форум),2004,"нехудожественная, электронная коммуникация",форум,частная жизнь,,,электронный текст,омонимия не снята,"Вобщем, мне одна девушка с фантазией « хот-дог» делала: берёте… батон: -), разрезаете его на две части вдоль, кладёте внутрь вставший член, варёную сосиску, острую морковку, всего, что там полагается, вобщем, кетчупа, майонеза. [Женщина + мужчина: Секс (форум) (2004)] [омонимия не снята]"
