Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
 лыб инзиж оге в хапаз, йыртсо ,запах в его жизни был , острый , , запах асидола ― жидкости для,Эдуард Лимонов. У нас была Великая Эпоха (1987),Эдуард Лимонов,1943,У нас была Великая Эпоха,1987,художественная,роман,_,,,книга,омонимия снята,Едва ли не первый запомнившийся сыну Вениамина запах в его жизни был острый запах асидола ― жидкости для чистки пуговиц. [Эдуард Лимонов. У нас была Великая Эпоха (1987)] [омонимия снята]
 с ыткудорП, мыртсо ,Продукты с , острым , ," запахом ( сыр, рыба, копчёности,",Инструкция к холодильнику (1980),,,Инструкция к холодильнику,1980,"нехудожественная, производственно-техническая",инструкция,дом и домашнее хозяйство,,,прочая печатная продукция,омонимия снята,"Продукты с острым запахом ( сыр, рыба, копчёности, специи и др.) а также продукты, воспринимающие запахи ( сливочное масло, кремы, творог, сметана и др.), должны храниться в закрытой посуде или упаковке ( в полиэтиленовой плёнке, целлофане, алюминиевой фольге и т. п.). [Инструкция к холодильнику (1980)] [омонимия снята]"
" кодоробдоп ,йыннерему тоР", йыртсо ,"Рот умеренный, подбородок ", острый ,","," голос тихий, уши средней величины,","Ю. О. Домбровский. Факультет ненужных вещей, часть 5 (1978)",Ю. О. Домбровский,1909,"Факультет ненужных вещей, часть 5",1978,художественная,роман,_,,,книга,омонимия снята,"Рот умеренный, подбородок острый,голос тихий, уши средней величины, на левой ноге второй и третий пальцы сросшиеся». [Ю. О. Домбровский. Факультет ненужных вещей, часть 5 (1978)] [омонимия снята]"
" еыдолом и ,юьнелез анешарко акчюлок", еыртсо ,"колючка окрашена зеленью, и молодые ", острые , , шипы её ещё нежны и,"Василий Гроссман. Жизнь и судьба, ч. 1 (1960)",Василий Гроссман,1905,"Жизнь и судьба, ч. 1",1960,художественная,роман,_,,,книга,омонимия снята,"И злая верблюжья колючка окрашена зеленью, и молодые острые шипы её ещё нежны и мягки, не успели окостенеть… [Василий Гроссман. Жизнь и судьба, ч. 1 (1960)] [омонимия снята]"
" ьнечо молзи ,яанярп ьнечо ьсемС", йыртсо ,"Смесь очень пряная, излом очень ", острый ,","," диссонанс режущий, но потому- то",В. Ф. Ходасевич. Брюсов (1924),В. Ф. Ходасевич,1886,Брюсов,1924,"нехудожественная, публицистика",мемуары,_,,,книга,омонимия снята,"Смесь очень пряная, излом очень острый,диссонанс режущий, но потому- то ранние книги Брюсова ( до "" Tertia Vigilia"" включительно) ― суть всё-таки лучшие его книги: наиболее острые. [В. Ф. Ходасевич. Брюсов (1924)] [омонимия снята]"
" илербоирп ,иминжерп итчоп ьсишватсо ,ытреч", йыртсо ,"черты, оставшись почти прежними, приобрели ", острый , , оттенок лихорадочной жизни.,А. С. Грин. Ива (1923),А. С. Грин,1880,Ива,1923,художественная,рассказ,_,,,книга,омонимия снята,"От прежней Карион сохранилась лишь упрямая верхняя губка и глаза, ― остальные черты, оставшись почти прежними, приобрели острый оттенок лихорадочной жизни. [А. С. Грин. Ива (1923)] [омонимия снята]"
";илокыв залг ьтох ,онмет олыб", йыртсо ,"было темно, хоть глаз выколи;", острый , ," запах дыма свидетельствовал, что лучина",Д. В. Григорович. Бобыль (1847),Д. В. Григорович,1822,Бобыль,1847,художественная,рассказ,_,,,книга,омонимия снята,"Совершенная тишина царствовала повсюду; в избе было темно, хоть глаз выколи;острый запах дыма свидетельствовал, что лучина незадолго угасла. [Д. В. Григорович. Бобыль (1847)] [омонимия снята]"
" ясюущюажемереп ,ьтсиванен юувоссалк манищнеж к", имыртсо ,"к женщинам классовую ненависть, перемежающуюся ", острыми , , вспышками похоти.,Виктор Пелевин. Любовь к трем цукербринам (2014),Виктор Пелевин,1962,Любовь к трем цукербринам,2014,художественная,роман,_,,,книга,омонимия не снята,"Наверно, в тайных глубинах своей души Кеша был шовинистом ― он испытывал к женщинам классовую ненависть, перемежающуюся острыми вспышками похоти. [Виктор Пелевин. Любовь к трем цукербринам (2014)] [омонимия не снята]"
" ан тажел ,яьсурб еынзележ тюамол", хыртсо ,"ломают железные брусья, лежат на ", острых , ," шипах под тяжелым прессом, медитируют,","Премьеры // «Русский репортер», 2014",,,Премьеры,2014,"нехудожественная, публицистика",рецензия,"досуг, зрелища и развлечения, искусство и культура",«Русский репортер»,2014,журнал,омонимия не снята,"Монахи легко ломают железные брусья, лежат на острых шипах под тяжелым прессом, медитируют, балансируя на голове. [Премьеры // «Русский репортер», 2014] [омонимия не снята]"
" и ,осям ястираж ецилу йокзу", йыртсо ,"узкой улице жарится мясо, и ", острый , , запах дразнит ноздри.,"Дмитрий Шляпентох. Конец Истории: благословенный Иов // «Сибирские огни», 2013",Дмитрий Шляпентох,1950,Конец Истории: благословенный Иов,2013,художественная,повесть,_,«Сибирские огни»,2013,журнал,омонимия не снята,"На узкой улице жарится мясо, и острый запах дразнит ноздри. [Дмитрий Шляпентох. Конец Истории: благословенный Иов // «Сибирские огни», 2013] [омонимия не снята]"
