Reversed left context,Reversed center,Left context,Center,Punct,Right context,Title,Author,Birthday,Header,Created,Sphere,Type,Topic,Publication,Publ_year,Medium,Ambiguity,Full context
лыб инзиж оге в хапаз, йыртсо ,запах в его жизни был, острый , , запах асидола ― жидкости для,Эдуард Лимонов. У нас была Великая Эпоха (1987),Эдуард Лимонов,1943,У нас была Великая Эпоха,1987,художественная,роман,_,,,книга,омонимия снята,Едва ли не первый запомнившийся сыну Вениамина запах в его жизни былострый запах асидола ― жидкости для чистки пуговиц. [Эдуард Лимонов. У нас была Великая Эпоха (1987)] [омонимия снята]
с ыткудорП, мыртсо ,Продукты с, острым , ," запахом ( сыр, рыба, копчёности,",Инструкция к холодильнику (1980),,,Инструкция к холодильнику,1980,"нехудожественная, производственно-техническая",инструкция,дом и домашнее хозяйство,,,прочая печатная продукция,омонимия снята,"Продукты сострым запахом ( сыр, рыба, копчёности, специи и др.) а также продукты, воспринимающие запахи ( сливочное масло, кремы, творог, сметана и др.), должны храниться в закрытой посуде или упаковке ( в полиэтиленовой плёнке, целлофане, алюминиевой фольге и т. п.). [Инструкция к холодильнику (1980)] [омонимия снята]"
";илокыв залг ьтох ,онмет олыб", йыртсо ,"было темно, хоть глаз выколи;", острый , ," запах дыма свидетельствовал, что лучина",Д. В. Григорович. Бобыль (1847),Д. В. Григорович,1822,Бобыль,1847,художественная,рассказ,_,,,книга,омонимия снята,"Совершенная тишина царствовала повсюду; в избе было темно, хоть глаз выколи;острый запах дыма свидетельствовал, что лучина незадолго угасла. [Д. В. Григорович. Бобыль (1847)] [омонимия снята]"
"и ,осям ястираж ецилу йокзу", йыртсо ,"узкой улице жарится мясо, и", острый , , запах дразнит ноздри.,"Дмитрий Шляпентох. Конец Истории: благословенный Иов // «Сибирские огни», 2013",Дмитрий Шляпентох,1950,Конец Истории: благословенный Иов,2013,художественная,повесть,_,«Сибирские огни»,2013,журнал,омонимия не снята,"На узкой улице жарится мясо, иострый запах дразнит ноздри. [Дмитрий Шляпентох. Конец Истории: благословенный Иов // «Сибирские огни», 2013] [омонимия не снята]"
"ее лашылс ,ееш йокосыв ан", йыртсо ,"на высокой шее, слышал ее", острый , , запах.,"Роман Шмараков. Лошадь // «Сибирские огни», 2013",Роман Шмараков,1971,Лошадь,2013,художественная,рассказ,_,«Сибирские огни»,2013,журнал,омонимия не снята,"В полутьме я видел влажное движенье ее глаз, капли пота на высокой шее, слышал ееострый запах. [Роман Шмараков. Лошадь // «Сибирские огни», 2013] [омонимия не снята]"
"в ,икчодуб ортун еонсет в", йыртсо ,"в тесное нутро будочки, в", острый , ," запах кожи и ваксы, под","Даниил Корецкий. Менты не ангелы, но… (2011)",Даниил Корецкий,1948,"Менты не ангелы, но…",2011,художественная,роман,_,,,книга,омонимия не снята,"Звягинцев втиснулся в тесное нутро будочки, вострый запах кожи и ваксы, под бахрому разноцветных шнурков, надел на себя черный фартук, под руку положил дубинку. [Даниил Корецкий. Менты не ангелы, но… (2011)] [омонимия не снята]"
енсев оп йищянзард ястисоноД, йыртсо ,Доносится дразнящий по весне, острый , ," запах черемши ― видимо, нечаянно",Р. Б. Ахмедов. Промельки (2011),Р. Б. Ахмедов,1933,Промельки,2011,"нехудожественная, публицистика",мемуары,_,,,электронное издание,омонимия не снята,"Доносится дразнящий по веснеострый запах черемши ― видимо, нечаянно наступил на пучок трехгранных стеблей дикого чеснока, готовящегося к цветению. [Р. Б. Ахмедов. Промельки (2011)] [омонимия не снята]"
и яьжур алуд зи комыд, йыртсо ,дымок из дула ружья и, острый , , запах пороховой гари.,"Вацлав Михальский. Река времен. Ave Maria // Октябрь, 2010",Вацлав Михальский,1938,Река времен. Ave Maria,2010,художественная,роман,_,Октябрь,2010,журнал,омонимия не снята,"Вспомнил он, и как с плоской крыши сакли салютовал из охотничьего ружья старый муж роженицы ( наверное, мужу было чуть за тридцать, но тогда он показался двадцатичетырехлетнему Адаму очень старым), вспомнил белый дымок из дула ружья иострый запах пороховой гари. [Вацлав Михальский. Река времен. Ave Maria // Октябрь, 2010] [омонимия не снята]"
",улоп ан кежуртс акроГ", йыртсо ,"Горка стружек на полу,", острый , ," запах липы, в уголке сложены","Ольга Тимофеева. Деревня капиталистического труда // «Русский репортер», № 1-2 (080-081), 22-29 января 2009, 2009",Ольга Тимофеева,,Деревня капиталистического труда,2009,"нехудожественная, публицистика",статья,"дом и домашнее хозяйство, искусство и культура, производство","«Русский репортер», № 1-2 (080-081), 22-29 января 2009",2009,журнал,омонимия не снята,"Горка стружек на полу,острый запах липы, в уголке сложены « стулья» ― поленья то есть. [Ольга Тимофеева. Деревня капиталистического труда // «Русский репортер», № 1-2 (080-081), 22-29 января 2009, 2009] [омонимия не снята]"
",яьжур алуд зи комыд йылеб", йыртсо ,"белый дымок из дула ружья,", острый , , запах пороховой гари.,Вацлав Михальский. Храм Согласия (2008),Вацлав Михальский,1938,Храм Согласия,2008,художественная,роман,_,,,книга,омонимия не снята,"Вспомнил, как с плоской крыши сакли салютовал из охотничьего ружья в честь новорожденного сына старый муж роженицы ( наверно, мужу было чуть за тридцать, но тогда он показался ему очень старым), вспомнил белый дымок из дула ружья,острый запах пороховой гари. [Вацлав Михальский. Храм Согласия (2008)] [омонимия не снята]"
